Title,Size (m²),Zone,Status,Description
Apartamento T1 com jardim perto do Marquês de Pombal,117.0,Marquês de Pombal (Coração de Jesus),Novo,"Apartamento T1 com 85m2 com jardim privativo de 32m2 inserido em novo empreendimento, pronto a habitar, situado próximo do Marquês de Pombal, mesmo no centro de Lisboa.  Com apenas 6 pisos e 1 apartamento por piso, o "
Apartamento T2 com varanda na Baixa,140.0,BAIXA (Madalena),Em construção,"Apartamento T2 de 136m2 com pequena varanda inserido em novo empreendimento situado numa típica rua da Baixa, com fabulosos prédios pombalinos, que fazem parte da paisagem icónica de Lisboa.  O projeto consiste na "
Apartamento T2 com varanda na Baixa,120.0,BAIXA (Madalena),Em construção,"Apartamento T2 de 117m2 com pequena varanda inserido em novo empreendimento situado numa típica rua da Baixa, com fabulosos prédios pombalinos, que fazem parte da paisagem icónica de Lisboa.  O projeto consiste na "
"Apartamento T2 remodelado com Box, na Amadora",87.0,Casal da Mira (Mina),Renovado,"Apartamento T2 com Box, totalmente remodelado, com área total de 87 m2, situado no Casal da Mira, na Amadora.    Referência: PF1903   Apartamento composto por: - Hall de Entrada - Sala - Cozinha com Despensa - Wc completo  - "
Estúdio na Estrela,70.0,Estrela,Usado,"Estúdio para remodelação total, com dois projectos de otimização do espaço. Excelente Oportunidade de Investim"
"CAMPO DE OURIQUE - VENDE – APARTAMENTO / PENTHOUSE - T6 - Com 360m2 + Terraço com 34m2 + Estacionamento + Vista Rio e Cidade, em Lisboa",360.0,Campo de Ourique,Usado,"LISBOA CAMPO DE OURIQUE AMOREIRAS VENDE PENTHOUSE / APARTAMENTO COM 360m2 + Terraço com 34m2 + Estacionamento para 2 carros no centro de Lisboa, Campo de Ourique / Amoreiras.  Magnífico apartamento EM BOM ESTADO, com vista "
Apartamento 4 assoalhadas Duplex em Telheiras,106.0,Telheiras,Usado,"Apartamento 4 assoalhadas – Duplex  No primeiro piso podemos encontrar a sala e a cozinha.  No segundo piso temos os três quartos, um deles com varanda e uma casa de banho.  Bom estado de conservação  Boa exposição solar  A "
"Apartamento T2, situado na Avenida Afonso III, em Lisboa",90.0,Av. Afonso III (São João),Renovado,"Apartamento T2 com uma área total de 90 m2 situado na Avenida Afonso III, em Lisboa.   Ref: PF1773  O Apartamento é composto por: - Cozinha Americana com Sala, de estilo moderno e elegante com esquema de móveis "
Apartamento T3 Remodelado Murtal,98.0,Murtal,Recuperado,"Apartamento de quatro assoalhadas, completamente remodelado com materiais de elevada qualidade, com garagem box e estacionamento exterior, inserido em prédio de seis apartamentos em excelente estado de conservação, no "
"T2 com vista desafogada - Infantado, Loures",82.0,Infantado,Usado,"T2 localizado no Infantado, a 10 minutos de Lisboa, perto de serviços, comércio, escolas e transportes. A 1Km do Loureshopping Vista desafogada Prédio com dois elevadores. Cozinha equipada com forno, placa vitrocerâmica, "
Apartamento T4 na Urbanização do Infantado em Loures,202.0,Quinta do Infantado,Usado,"Apartamento T4 na Urbanização do Infantado em Loures.   Referência: CZ1800  Apartamento composto por:   - Cozinha totalmente equipada.   - Sala ampla, com zona de estar e zona de jantar.   - Uma suite com closet e área de "
"T3 com condições especiais de financiamento, em Monte Abraão.",127.0,Massamá e Monte Abraão,Usado,"T3 com condições especiais de financiamento, com áreas bastante generosas, situado em Monte Abraão. Apartamento num andar alto, num edifício com elevador, com áreas grandes, distribuídas de forma homogénea. Para além de "
T1 com vista deslumbrante de cidade em empreendimento novo no Príncipe Real,71.0,Príncipe Real (Mercês),Novo,"Empreendimento pronto a ser escriturado!  Apartamento T1, com grande varanda com vista deslumbrante sobre a cidade, inserido em empreendimento novo (a estrear) no Príncipe Real.  Cozinha equipada;  Ar condicionado;  "
